"show_id","director","cast","country","release_year","rating","duration","listed_in","date_added_month","date_added_day","date_added_year"
"s2",,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng","South Africa",2021,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","September","24",2021
"s3","JULIEN LECLERCQ","Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,2021,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure","September","24",2021
"s4",,,,2021,"TV-MA","1 Season","Docuseries, Reality TV","September","24",2021
"s5",,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar","India",2021,"TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","September","24",2021
"s6","MIKE FLANAGAN","Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,2021,"TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries","September","24",2021
"s9","ANDY DEVONSHIRE","Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood","United Kingdom",2021,"TV-14","9 Seasons","British TV Shows, Reality TV","September","24",2021
"s11",,,,2021,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","September","24",2021
"s12","KONGKIAT KOMESIRI","Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,2021,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure","September","23",2021
"s15",,,,2021,"TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","September","22",2021
"s16",,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito","United States",2021,"TV-MA","4 Seasons","TV Comedies, TV Dramas","September","22",2021
